Z-XX-A-m;n;p;Svyazey;X;Y;Z;centrX;centrY;centrZ;Centrobeg;He4;He3;H3;H2;p;n;n1;n2;n3;n4;n5;n6;p1;p2;p3;p4;p5;p6;Binding
6-C-10-m 3,354 MeV;4;6;12;3;6;3;5,5;5,2;2,7;10,21389795;1;1;0;1;1;0;0;2;0;2;0;0;2;2;2;0;0;0;56,968
6-C-11;5;6;15;5;7;3;5,454545455;5,454545455;2,727272727;11,22429812;2;1;0;0;0;0;0;2;1;2;0;0;0;4;1;1;0;0;73,441
6-C-12;6;6;18;6;8;4;5,5;5,5;2,666666667;11,98140957;3;0;0;0;0;0;0;2;2;2;0;0;0;2;2;2;0;0;92,163
6-C-13;7;6;20;6;9;5;5,538461538;5,384615385;2,615384615;13,48632728;3;0;0;0;0;1;0;3;2;2;0;0;0;1;2;3;0;0;97,11
6-C-14;8;6;22;6;10;6;5,5;5,5;2,571428571;15,14368723;3;0;0;0;0;2;0;4;2;2;0;0;0;0;2;4;0;0;105,286
6-C-15;9;6;23;6;10;7;5,533333333;5,466666667;2,466666667;15,81161891;3;0;0;0;0;3;1;4;2;2;0;0;0;0;2;3;1;0;106,505
6-C-16;10;6;24;6;10;8;5,5;5,5;2,375;16,55790079;3;0;0;0;0;4;2;4;2;2;0;0;0;0;2;2;2;0;110,755
6-C-17;11;6;25;7;10;8;5,411764706;5,529411765;2,352941176;18,08551514;3;0;0;0;0;5;3;4;2;2;0;0;0;0;2;2;1;1;111,483
6-C-18;12;6;26;8;10;8;5,5;5,5;2,333333333;19,72017845;3;0;0;0;0;6;4;4;2;2;0;0;0;0;2;2;0;2;115,662
6-C-19;13;6;27;9;10;8;5,421052632;5,473684211;2,368421053;21,25869989;3;0;0;0;0;7;5;4;2;2;0;0;0;0;2;1;1;2;116,244
6-C-20;14;6;28;10;10;8;5,5;5,5;2,4;22,88245611;3;0;0;0;0;8;6;4;2;2;0;0;0;0;2;0;2;2;119,175
6-C-21;15;6;29;11;10;8;5,571428571;5,428571429;2,428571429;24,94568677;3;0;0;0;0;9;7;4;2;2;0;0;0;0;1;1;2;2;118,807
6-C-22;16;6;30;12;10;8;5,5;5,5;2,454545455;27,1250968;3;0;0;0;0;10;8;4;2;2;0;0;0;0;0;2;2;2;119,579
7-N-10;3;7;11;4;5;2;5,3;5,4;2,8;10,43274064;1;0;0;1;4;0;0;1;0;1;1;0;4;2;1;0;0;0;36,438
7-N-11-m 0,320 MeV;4;7;13;5;6;2;5,363636364;5,545454545;2,818181818;12,06144097;1;0;0;2;3;0;0;2;0;1;1;0;3;2;2;0;0;0;58,689
7-N-12;5;7;15;6;7;2;5,25;5,5;2,833333333;13,46928007;2;0;0;1;2;0;0;3;0;1;1;0;2;3;1;1;0;0;74,043
7-N-13;6;7;18;7;8;3;5,230769231;5,461538462;2,769230769;14,00163821;2;1;0;1;0;0;0;3;1;1;1;0;0;5;1;0;1;0;94,107
7-N-14;7;7;21;8;9;4;5,285714286;5,5;2,714285714;14,92682852;3;0;0;1;0;0;0;3;2;1;1;0;0;3;2;1;1;0;104,661
7-N-14-m 8,490 MeV;7;7;20;7;9;4;5,285714286;5,357142857;2,714285714;15,56484556;2;1;0;1;0;1;0;4;1;1;1;0;0;3;3;0;1;0;96,171
7-N-14-m 8,964 MeV;7;7;20;7;9;4;5,214285714;5,571428571;2,714285714;15,50904596;2;1;0;1;0;1;0;4;1;1;1;0;0;3;3;0;1;0;95,697
7-N-14-m 9,129 MeV;7;7;20;8;8;4;5,142857143;5,5;2,714285714;15,26815084;2;1;0;1;0;0;0;4;1;1;1;0;0;3;3;0;1;0;95,532
7-N-15;8;7;23;8;10;5;5,333333333;5,4;2,666666667;16,52508589;3;0;0;1;0;1;0;4;2;1;1;0;0;2;2;2;1;0;115,494
7-N-16;9;7;25;8;11;6;5,3125;5,5;2,625;18,11464959;3;0;0;1;0;2;0;5;2;1;1;0;0;1;2;3;1;0;117,983
7-N-17;10;7;27;9;11;7;5,235294118;5,529411765;2,588235294;19,45806247;3;0;0;1;0;2;0;6;2;1;1;0;0;0;3;2;2;0;123,867
7-N-18;11;7;29;10;12;7;5,166666667;5,611111111;2,611111111;21,27437338;3;0;1;0;0;3;0;7;2;1;1;0;0;0;1;4;2;0;126,695
7-N-19;12;7;30;10;12;8;5,210526316;5,578947368;2,526315789;22,29429175;3;0;1;0;0;4;1;7;2;1;1;0;0;0;1;3;3;0;132,019
7-N-20;13;7;31;10;12;9;5,2;5,6;2,45;22,74181703;3;0;1;0;0;5;2;7;2;1;1;0;0;0;1;3;2;1;134,183
7-N-21;14;7;32;11;12;9;5,285714286;5,571428571;2,428571429;24,64004435;3;0;1;0;0;6;3;7;2;1;1;0;0;0;1;3;1;2;138,775
7-N-22;15;7;33;12;12;9;5,363636364;5,590909091;2,454545455;26,3843588;3;0;1;0;0;7;4;7;2;1;1;0;0;0;1;2;2;2;140,056
7-N-23;16;7;34;13;12;9;5,434782609;5,52173913;2,47826087;28,66056028;3;0;1;0;0;8;5;7;2;1;1;0;0;0;0;3;2;2;141,768
7-N-24;17;7;35;13;13;9;5,458333333;5,416666667;2,5;31,22537724;3;0;1;0;0;9;6;7;2;1;1;0;0;0;0;2;3;2;140,739
7-N-25;18;7;36;13;14;9;5,44;5,52;2,52;33,76271476;3;0;1;0;0;10;7;7;2;1;1;0;0;0;0;1;4;2;139,811
8-O-12;4;8;14;6;6;2;5,5;5,5;2,833333333;13,72947367;2;0;0;0;4;0;0;2;0;0;2;0;4;2;2;0;0;0;58,55
8-O-13;5;8;16;7;7;2;5,384615385;5,461538462;2,846153846;15,24544983;2;0;0;1;3;0;0;3;0;0;2;0;3;3;1;1;0;0;75,558
8-O-14;6;8;18;8;8;2;5,5;5,5;2,857142857;16,89175133;2;0;0;2;2;0;0;4;0;0;2;0;2;4;0;2;0;0;98,734
8-O-15;7;8;21;9;9;3;5,466666667;5,466666667;2,8;17,56080737;2;1;0;2;0;0;0;4;1;0;2;0;0;6;0;1;1;0;111,958
8-O-16;8;8;24;10;10;4;5,5;5,5;2,75;18,30596489;3;0;0;2;0;0;0;4;2;0;2;0;0;4;2;0;2;0;127,621
8-O-17;9;8;26;10;11;5;5,529411765;5,411764706;2,705882353;19,82956989;3;0;0;2;0;1;0;5;2;0;2;0;0;3;2;1;2;0;131,765
8-O-18;10;8;28;10;12;6;5,5;5,5;2,666666667;21,46824255;3;0;0;2;0;2;0;6;2;0;2;0;0;2;2;2;2;0;139,808
8-O-19;11;8;30;11;12;7;5,421052632;5,526315789;2,631578947;22,99735701;3;0;0;2;0;2;0;7;2;0;2;0;0;1;3;1;3;0;143,764
8-O-20;12;8;32;12;12;8;5,5;5,5;2,6;24,63052021;3;0;0;2;0;2;0;8;2;0;2;0;0;0;4;0;4;0;151,373
8-O-21;13;8;34;13;13;8;5,571428571;5,428571429;2,619047619;26,69504556;3;0;1;1;0;3;0;9;2;0;2;0;0;0;2;2;4;0;155,179
8-O-22;14;8;36;14;14;8;5,5;5,5;2,636363636;28,8731609;3;0;2;0;0;4;0;10;2;0;2;0;0;0;0;4;4;0;162,034
8-O-23;15;8;37;14;14;9;5,52173913;5,47826087;2,565217391;29,55363083;3;0;2;0;0;5;1;10;2;0;2;0;0;0;0;4;3;1;164,775
8-O-24;16;8;38;14;14;10;5,5;5,5;2,5;30,28737446;3;0;2;0;0;6;2;10;2;0;2;0;0;0;0;4;2;2;168,387
8-O-25;17;8;39;14;15;10;5,52;5,4;2,52;32,78880231;3;0;2;0;0;7;3;10;2;0;2;0;0;0;0;3;3;2;168,128
8-O-26;18;8;40;14;16;10;5,5;5,5;2,538461538;35,38639397;3;0;2;0;0;8;4;10;2;0;2;0;0;0;0;2;4;2;167,9
8-O-27;19;8;41;15;16;10;5,407407407;5,518518519;2,555555556;37,89063777;3;0;2;0;0;9;5;10;2;0;2;0;0;0;0;1;5;2;166,671
8-O-28;20;8;42;16;16;10;5,5;5,5;2,571428571;40,48541349;3;0;2;0;0;10;6;10;2;0;2;0;0;0;0;0;6;2;165,843
9-F-14;5;9;18;8;8;2;5,285714286;5,357142857;2,857142857;17,19440064;2;1;0;0;3;0;0;1;2;0;2;0;3;4;1;1;0;0;73,259
9-F-15;6;9;20;9;9;2;5,4;5,4;2,866666667;18,95299277;2;1;0;1;2;0;0;2;2;0;2;0;2;5;0;2;0;0;97,25
9-F-16;7;9;22;10;10;2;5,5;5,3125;2,875;20,99901682;2;1;1;0;2;0;0;3;2;0;2;0;2;3;2;2;0;0;111,422
9-F-17;8;9;25;11;11;3;5,470588235;5,294117647;2,823529412;21,56640294;2;2;1;0;0;0;0;3;3;0;2;0;0;5;2;1;1;0;128,222
9-F-18;9;9;28;12;12;4;5,5;5,333333333;2,777777778;22,43513655;3;1;1;0;0;0;0;3;4;0;2;0;0;3;4;0;2;0;137,372
9-F-18-m 4,860 MeV;9;9;27;11;12;4;5,5;5,222222222;2,777777778;22,89949718;2;2;1;0;0;1;0;4;3;0;2;0;0;4;2;2;1;0;137,372
9-F-18-m 5,298 MeV;9;9;27;11;12;4;5,444444444;5,388888889;2,777777778;23,30373341;2;2;1;0;0;1;0;4;3;0;2;0;0;3;4;1;1;0;137,372
9-F-18-m 5,502 MeV;9;9;27;12;11;4;5,388888889;5,333333333;2,777777778;23,12174661;2;2;1;0;0;1;0;4;3;0;2;0;0;3;4;1;1;0;137,372
9-F-18-m 5,786 MeV;9;9;27;12;11;4;5,555555556;5,277777778;2,777777778;23,08884813;2;2;1;0;0;1;0;4;3;0;2;0;0;4;2;2;1;0;137,372
9-F-19;10;9;30;12;13;5;5,526315789;5,263157895;2,736842105;23,81571143;3;1;1;0;0;1;0;4;4;0;2;0;0;3;2;2;2;0;147,803
9-F-19-m 4,683 MeV;10;9;30;12;13;5;5,473684211;5,421052632;2,736842105;24,1154824;3;1;1;0;0;1;0;4;4;0;2;0;0;2;4;1;2;0;143,12
9-F-19-m 5,107 MeV;10;9;30;13;12;5;5,421052632;5,368421053;2,736842105;24,01934202;3;1;1;0;0;1;0;4;4;0;2;0;0;2;4;1;2;0;142,696
9-F-19-m 5,337 MeV;10;9;30;13;12;5;5,578947368;5,315789474;2,736842105;23,91860339;3;1;1;0;0;1;0;4;4;0;2;0;0;3;2;2;2;0;142,466
9-F-19-m 5,463 MeV;10;9;30;13;13;4;5,421052632;5,421052632;2,789473684;24,61496938;4;0;1;0;0;0;0;4;4;0;2;0;0;1;6;0;2;0;142,339
9-F-19-m 5,621 MeV;10;9;29;12;12;5;5,526315789;5,315789474;2,684210526;23,00995632;3;1;1;0;0;1;1;3;4;0;2;0;0;3;3;1;2;0;142,182
9-F-20;11;9;32;12;14;6;5,5;5,35;2,7;25,59891905;3;1;1;0;0;2;0;5;4;0;2;0;0;2;2;3;2;0;154,405
9-F-21;12;9;34;13;14;7;5,428571429;5,380952381;2,666666667;27,18981341;3;1;1;0;0;3;0;6;4;0;2;0;0;1;3;2;3;0;162,507
9-F-22;13;9;36;14;14;8;5,5;5,363636364;2,636363636;28,77349882;3;1;1;0;0;4;0;7;4;0;2;0;0;1;2;2;4;0;167,738
9-F-23;14;9;38;15;15;8;5,434782609;5,434782609;2,652173913;30,94959064;4;0;1;0;0;4;0;8;4;0;2;0;0;1;0;4;4;0;175,273
9-F-24;15;9;39;15;15;9;5,458333333;5,416666667;2,583333333;31,63702262;4;0;1;0;0;5;1;8;4;0;2;0;0;1;0;4;3;1;179,114
9-F-25;16;9;40;15;15;10;5,44;5,44;2,52;32,37406975;4;0;1;0;0;6;2;8;4;0;2;0;0;1;0;4;2;2;183,476
9-F-26;17;9;41;15;15;11;5,384615385;5,384615385;2,5;34,38837561;4;0;1;0;0;7;3;8;4;0;2;0;0;0;1;4;2;2;184,547
9-F-27;18;9;42;15;16;11;5,407407407;5,296296296;2,518518519;36,81921361;4;0;1;0;0;8;4;8;4;0;2;0;0;0;1;3;3;2;185,989
9-F-28;19;9;43;15;17;11;5,392857143;5,392857143;2,535714286;39,49166405;4;0;1;0;0;9;5;8;4;0;2;0;0;0;1;2;4;2;185,76
9-F-29;20;9;44;16;17;11;5,310344828;5,413793103;2,551724138;41,93044391;4;0;1;0;0;10;6;8;4;0;2;0;0;0;1;1;5;2;186,732
9-F-30;21;9;45;17;17;11;5,4;5,4;2,566666667;44,59508322;4;0;1;0;0;11;7;8;4;0;2;0;0;0;1;0;6;2;186,203
9-F-31;22;9;46;17;18;11;5,35483871;5,322580645;2,580645161;47,35042608;4;0;1;0;0;12;8;8;4;0;2;0;0;0;0;1;6;2;186,875
10-Ne-16;6;10;22;10;10;2;5,5;5,5;2,875;21,13439201;2;2;0;0;2;0;0;0;4;0;2;0;2;6;0;2;0;0;97,322
10-Ne-17;7;10;24;11;11;2;5,588235294;5,411764706;2,882352941;23,17982872;3;1;0;0;2;0;0;1;4;0;2;0;2;4;2;2;0;0;112,931
10-Ne-18;8;10;26;12;12;2;5,5;5,5;2,888888889;25,3770327;4;0;0;0;2;0;0;2;4;0;2;0;2;2;4;2;0;0;132,145
10-Ne-19;9;10;29;13;13;3;5,473684211;5,473684211;2,842105263;26,05324308;4;1;0;0;0;0;0;2;5;0;2;0;0;4;4;1;1;0;143,782
10-Ne-20;10;10;32;14;14;4;5,5;5,5;2,8;26,79124626;5;0;0;0;0;0;0;2;6;0;2;0;0;2;6;0;2;0;160,647
10-Ne-20-m 5,621 MeV;10;10;31;13;14;4;5,5;5,4;2,8;27,54268931;4;1;0;0;0;1;0;3;5;0;2;0;0;3;4;2;1;0;155,026
10-Ne-21;11;10;34;14;15;5;5,523809524;5,428571429;2,761904762;28,32299836;5;0;0;0;0;1;0;3;6;0;2;0;0;2;4;2;2;0;167,409
10-Ne-22;12;10;36;14;16;6;5,5;5,5;2,727272727;29,95352392;5;0;0;0;0;2;0;4;6;0;2;0;0;2;2;4;2;0;177,772
10-Ne-23;13;10;38;15;16;7;5,434782609;5,52173913;2,695652174;31,48942344;5;0;0;0;0;3;0;5;6;0;2;0;0;2;1;4;3;0;182,974
10-Ne-24;14;10;40;16;16;8;5,5;5,5;2,666666667;33,11580158;5;0;0;0;0;4;0;6;6;0;2;0;0;2;0;4;4;0;191,843
10-Ne-25;15;10;41;16;16;9;5,52;5,48;2,6;33,79847745;5;0;0;0;0;5;1;6;6;0;2;0;0;2;0;4;3;1;196,073
