,Z-XX-A-m,Binding,Predicted
1662,51-Sb-134,1115.8469,1127.1109883444308
1663,51-Sb-134-m ,1115.8469,1142.942329856038
1664,51-Sb-135,1119.458,1136.7493970128894
1665,51-Sb-136,1122.72,1139.6477060809732
1666,51-Sb-137,1126.191,1146.0898510104416
1667,51-Sb-138,1129.1631,1150.2169731340407
1668,51-Sb-139,1132.334,1165.0252202932834
1669,52-Te-105,859.32,898.5535097523929
1670,52-Te-106,873.101,904.3282562159897
1671,52-Te-107,883.463,916.9953291210533
1672,52-Te-108,896.75397,924.6219188559652
1673,52-Te-109,906.716,934.8681100599171
1674,52-Te-110,919.45703,940.9708066310883
1675,52-Te-111,928.729,953.8715939801932
1676,52-Te-112,940.62,957.4705464564563
1677,52-Te-113,949.74194,970.0055144591928
1678,52-Te-114,961.353,974.1997513723375
1679,52-Te-115,969.59503,993.7235311378241
1680,52-Te-115,969.575,975.7502654861213
1681,52-Te-115,969.59503,993.4999401536585
1682,52-Te-116,980.877,995.2253026670218
1683,52-Te-117,988.774,1013.7466099428535
1684,52-Te-117,988.774,995.8988252012134
1685,52-Te-118,999.47095,1014.6094786710144
1686,52-Te-119,1007.005,1031.5802718330622
1687,52-Te-119,1006.74396,1017.3123174768092
1688,52-Te-120,1017.297,1034.4708320800066
1689,52-Te-121,1024.5139,1051.714708696723
1690,52-Te-121,1024.224,1037.8818131531477
1691,52-Te-122,1034.35,1055.3755267611145
1692,52-Te-123,1041.2789,1060.6529738809465
1693,52-Te-123,1041.032,1060.3952630875706
1694,52-Te-124,1050.703,1065.6673360249995
1695,52-Te-125,1057.273,1078.2942900335192
1696,52-Te-125,1057.128,1063.9136028277874
1697,52-Te-126,1066.386,1076.4346979410648
1698,52-Te-127,1072.6741,1082.655501544118
1699,52-Te-127,1072.586,1081.2524649939537
1700,52-Te-128,1081.457,1087.2558016811608
1701,52-Te-129,1087.54,1099.7525255021453
1702,52-Te-129,1087.4341,1085.2439827476144
1703,52-Te-130,1095.959,1097.5661081309913
1704,52-Te-131,1101.888,1108.729034868121
1705,52-Te-131,1101.7059,1096.642373662591
1706,52-Te-131,1099.948,1114.3488049089312
1707,52-Te-132,1109.933,1107.7480591080785
1708,52-Te-132,1108.008,1125.6579593998194
1709,52-Te-132,1107.21,1102.5639727848768
1710,52-Te-133,1115.768,1124.514508357823
1711,52-Te-133,1115.433,1101.7619697969556
1712,52-Te-134,1123.453,1118.1348539214134
1713,52-Te-135,1126.796,1134.1469179389476
1714,52-Te-135,1125.2361,1112.7125538386701
1715,52-Te-136,1131.4669,1128.421913907826
1716,52-Te-137,1134.669,1138.016704212129
1717,52-Te-138,1139.11,1141.0628657867908
1718,52-Te-139,1142.052,1147.4938874084949
1719,52-Te-140,1146.323,1151.6610034476519
1720,52-Te-141,1148.995,1166.235161219895
1721,52-Te-142,1152.866,1161.6341111969352
1722,53-I-108,882.952,924.7232784357071
1723,53-I-109,895.933,932.2237623556257
1724,53-I-110,906.695,942.3189765283466
1725,53-I-111,919.366,948.3758050776124
1726,53-I-112,929.638,961.1501116687656
1727,53-I-113,941.739,964.7910577563645
1728,53-I-114,951.481,977.3206515766979
1729,53-I-114,951.181,968.8968081313373
1730,53-I-115,963.092,981.5871274998188
1731,53-I-116,972.31396,1001.1056580638887
1732,53-I-117,983.326,1002.5586870085002
1733,53-I-118,991.938,1021.2582171705366
1734,53-I-118,991.834,1003.3090728491545
1735,53-I-119,1002.799,1022.203073425591
1736,53-I-120,1010.89996,1039.4364516394735
1737,53-I-120,1010.58,1024.9922740927934
1738,53-I-121,1021.469,1042.427496599257
1739,53-I-122,1029.333,1060.0254443496465
1740,53-I-123,1039.268,1063.8384892551303
1741,53-I-124,1046.76,1077.2806942360996
1742,53-I-125,1056.304,1086.801620777607
1743,53-I-126,1063.4491,1092.2156721152662
1744,53-I-127,1072.594,1097.339767565131
1745,53-I-128,1079.42,1110.4462736173869
1746,53-I-129,1088.2571,1108.3863370041847
1747,53-I-130,1094.7571,1113.9113714575171
1748,53-I-130,1094.717,1112.2336266998648
1749,53-I-131,1103.341,1117.5454435908794
1750,53-I-132,1109.6691,1130.7050665622353
1751,53-I-132,1109.6691,1115.2204223061203
1752,53-I-133,1117.927,1128.1784509468673
1753,53-I-133,1116.292,1142.5330171265007
1754,53-I-134,1124.1841,1139.838926989734
1755,53-I-134,1123.867,1127.1434834008217
1756,53-I-135,1131.972,1138.7322203576564
1757,53-I-136,1135.755,1156.452524493456
1758,53-I-136,1135.115,1132.1924652780294
1759,53-I-137,1140.826,1149.5025818173885
1760,53-I-138,1144.728,1166.3590173771381
1761,53-I-139,1149.309,1160.1905808072686
1762,53-I-140,1152.8109,1170.22942855525
1763,53-I-141,1157.1321,1173.1727307783365
1764,53-I-142,1160.384,1179.7557292791605
1765,53-I-143,1164.355,1184.0634489277004
1766,53-I-144,1167.427,1199.0379207984804
1767,54-Xe-110,897.51196,939.2008259056807
1768,54-Xe-111,908.084,949.1656849098803
1769,54-Xe-112,921.725,955.2032663872839
1770,54-Xe-113,931.917,967.908833436072
1771,54-Xe-114,944.984,971.5948976596594
1772,54-Xe-115,954.626,984.1472380194665
1773,54-Xe-116,967.08905,988.5063248533011
1774,54-Xe-117,976.298,1008.0394781927467
1775,54-Xe-118,988.264,1009.4343909788132
1776,54-Xe-119,997.05005,1028.289647449553
1777,54-Xe-120,1008.5,1029.312241877973
1778,54-Xe-121,1016.87103,1046.7789595929385
1779,54-Xe-122,1027.826,1049.8522420415877
1780,54-Xe-123,1035.791,1067.7398957177995
1781,54-Xe-124,1046.274,1071.6934192516803
1782,54-Xe-125,1053.877,1085.1996144975424
1783,54-Xe-125,1053.625,1079.0300530987977
1784,54-Xe-126,1063.9249,1092.2552910878658
1785,54-Xe-127,1071.148,1105.6693753469585
1786,54-Xe-127,1070.8511,1101.9944344311357
1787,54-Xe-128,1080.76,1115.8122072753906
1788,54-Xe-129,1087.669,1121.3413661012648
1789,54-Xe-129,1087.433,1120.9657982379795
1790,54-Xe-130,1096.9249,1126.4893329194783
1791,54-Xe-131,1103.5289,1139.8561743658186
1792,54-Xe-131,1103.365,1124.4520178647638
1793,54-Xe-132,1112.466,1137.691378705263
1794,54-Xe-132,1109.714,1144.7600533181428
1795,54-Xe-133,1118.901,1142.6343767062426
